time,DNI_W_m2,Ambient_Temp_C,Wind_Speed_mps,Hour,DayOfYear,Thermal_Power_kW,Electrical_Power_kW,Pump_Power_kW
01-01-2019 07:00,183.5,22.5,12.3,7,1,60.555,21.19425,4.204285714
01-01-2019 08:00,407.9,24,15.1,8,1,134.607,47.11245,4.204285714
01-01-2019 09:00,633.1,24.9,16,9,1,208.923,73.12305,4.204285714
01-01-2019 10:00,758.7,25.3,15.3,10,1,250.371,87.62985,4.204285714
01-01-2019 11:00,829.1,25.8,15.8,11,1,273.603,95.76105,4.204285714
01-01-2019 12:00,822.3,26,16.6,12,1,271.359,94.97565,4.204285714
01-01-2019 13:00,846.2,26,17.1,13,1,279.246,97.7361,4.204285714
01-01-2019 14:00,811.7,25.9,16.9,14,1,267.861,93.75135,4.204285714
01-01-2019 15:00,733.7,25.5,17,15,1,242.121,84.74235,4.204285714
01-01-2019 16:00,633.4,24.9,16.3,16,1,209.022,73.1577,4.204285714
01-01-2019 17:00,439.1,23.6,13.1,17,1,144.903,50.71605,4.204285714
01-01-2019 18:00,26.8,22.6,11.1,18,1,8.844,3.0954,4.204285714
02-01-2019 07:00,113.4,23.7,11.5,7,2,37.422,13.0977,4.204285714
02-01-2019 08:00,314.1,24.9,13.3,8,2,103.653,36.27855,4.204285714
02-01-2019 09:00,454.7,25.6,17.3,9,2,150.051,52.51785,4.204285714
02-01-2019 10:00,690.8,25.9,17,10,2,227.964,79.7874,4.204285714
02-01-2019 11:00,806.5,26.2,14.7,11,2,266.145,93.15075,4.204285714
02-01-2019 12:00,794.2,26.4,13.5,12,2,262.086,91.7301,4.204285714
02-01-2019 13:00,776.2,26.4,13.3,13,2,256.146,89.6511,4.204285714
02-01-2019 14:00,754.9,26.4,14,14,2,249.117,87.19095,4.204285714
02-01-2019 15:00,739.9,26,13.8,15,2,244.167,85.45845,4.204285714
02-01-2019 16:00,635.1,25.5,14.6,16,2,209.583,73.35405,4.204285714
02-01-2019 17:00,413.1,24.9,13.1,17,2,136.323,47.71305,4.204285714
02-01-2019 18:00,26.5,23.7,9.4,18,2,8.745,3.06075,4.204285714
03-01-2019 07:00,199.3,23.2,10.2,7,3,65.769,23.01915,4.204285714
03-01-2019 08:00,448.7,24.9,11.2,8,3,148.071,51.82485,4.204285714
03-01-2019 09:00,612.9,25.5,10.4,9,3,202.257,70.78995,4.204285714
03-01-2019 10:00,719.7,26.2,10.4,10,3,237.501,83.12535,4.204285714
03-01-2019 11:00,779.9,26.7,12,11,3,257.367,90.07845,4.204285714
03-01-2019 12:00,849.2,27,12.5,12,3,280.236,98.0826,4.204285714
03-01-2019 13:00,827,27,14.1,13,3,272.91,95.5185,4.204285714
03-01-2019 14:00,834.6,27,15.4,14,3,275.418,96.3963,4.204285714
03-01-2019 15:00,785.6,26.4,16.3,15,3,259.248,90.7368,4.204285714
03-01-2019 16:00,666.3,25.5,16.1,16,3,219.879,76.95765,4.204285714
03-01-2019 17:00,429,24.7,15.1,17,3,141.57,49.5495,4.204285714
03-01-2019 18:00,26.1,23.8,13.9,18,3,8.613,3.01455,4.204285714
04-01-2019 07:00,135.8,23.4,9.1,7,4,44.814,15.6849,4.204285714
04-01-2019 08:00,386.2,25.1,11,8,4,127.446,44.6061,4.204285714
04-01-2019 09:00,631.3,26,15.8,9,4,208.329,72.91515,4.204285714
04-01-2019 10:00,644,26.3,16.2,10,4,212.52,74.382,4.204285714
04-01-2019 11:00,754.5,26.7,16.4,11,4,248.985,87.14475,4.204285714
04-01-2019 12:00,781.2,26.9,16.4,12,4,257.796,90.2286,4.204285714
04-01-2019 13:00,793.9,26.9,15.9,13,4,261.987,91.69545,4.204285714
04-01-2019 14:00,776.5,26.6,16,14,4,256.245,89.68575,4.204285714
04-01-2019 15:00,702.1,26.3,15.4,15,4,231.693,81.09255,4.204285714
04-01-2019 16:00,566.6,25.8,14.3,16,4,186.978,65.4423,4.204285714
04-01-2019 17:00,393.4,24.8,12.8,17,4,129.822,45.4377,4.204285714
04-01-2019 18:00,25.7,23.7,11.1,18,4,8.481,2.96835,4.204285714
05-01-2019 07:00,136.3,23.7,8.7,7,5,44.979,15.74265,4.204285714
05-01-2019 08:00,336.1,25.3,10.7,8,5,110.913,38.81955,4.204285714
05-01-2019 09:00,387,26,14.5,9,5,127.71,44.6985,4.204285714
05-01-2019 10:00,330.3,26.2,14.8,10,5,108.999,38.14965,4.204285714
05-01-2019 11:00,414.4,26.8,15.5,11,5,136.752,47.8632,4.204285714
05-01-2019 12:00,445.9,27.1,16.3,12,5,147.147,51.50145,4.204285714
05-01-2019 13:00,619.3,27.2,17.3,13,5,204.369,71.52915,4.204285714
05-01-2019 14:00,690.6,27.1,17.1,14,5,227.898,79.7643,4.204285714
05-01-2019 15:00,648.3,26.5,17.1,15,5,213.939,74.87865,4.204285714
05-01-2019 16:00,607.5,25.9,16.8,16,5,200.475,70.16625,4.204285714
05-01-2019 17:00,318.1,25.5,14,17,5,104.973,36.74055,4.204285714
05-01-2019 18:00,12.7,24.9,12.4,18,5,4.191,1.46685,4.204285714
06-01-2019 07:00,108,23.6,10.2,7,6,35.64,12.474,4.204285714
06-01-2019 08:00,487.8,25.5,12.7,8,6,160.974,56.3409,4.204285714
06-01-2019 09:00,675.9,26.4,14.2,9,6,223.047,78.06645,4.204285714
06-01-2019 10:00,560.6,26.7,16.5,10,6,184.998,64.7493,4.204285714
06-01-2019 11:00,589.6,26.8,18,11,6,194.568,68.0988,4.204285714
06-01-2019 12:00,874.5,27,15.3,12,6,288.585,101.00475,4.204285714
06-01-2019 13:00,795.9,27.1,13.5,13,6,262.647,91.92645,4.204285714
06-01-2019 14:00,811.5,27.1,13.2,14,6,267.795,93.72825,4.204285714
06-01-2019 15:00,775.4,26.7,12.9,15,6,255.882,89.5587,4.204285714
06-01-2019 16:00,645.5,26.1,13.1,16,6,213.015,74.55525,4.204285714
06-01-2019 17:00,424.1,25.1,8.9,17,6,139.953,48.98355,4.204285714
06-01-2019 18:00,25,23.5,6.3,18,6,8.25,2.8875,4.204285714
07-01-2019 07:00,130.1,22.4,11.9,7,7,42.933,15.02655,4.204285714
07-01-2019 08:00,405.3,23.8,11.6,8,7,133.749,46.81215,4.204285714
07-01-2019 09:00,405.4,25.2,10.9,9,7,133.782,46.8237,4.204285714
07-01-2019 10:00,437.7,26.2,12.3,10,7,144.441,50.55435,4.204285714
07-01-2019 11:00,216,26.5,11.9,11,7,71.28,24.948,4.204285714
07-01-2019 12:00,392.8,27.2,11.6,12,7,129.624,45.3684,4.204285714
07-01-2019 13:00,530,28,11.4,13,7,174.9,61.215,4.204285714
07-01-2019 14:00,607.7,27.8,16.4,14,7,200.541,70.18935,4.204285714
07-01-2019 15:00,658.7,27,18.6,15,7,217.371,76.07985,4.204285714
07-01-2019 16:00,586.1,26.2,17.5,16,7,193.413,67.69455,4.204285714
07-01-2019 17:00,414.3,25.3,14.3,17,7,136.719,47.85165,4.204285714
07-01-2019 18:00,24.6,24.3,12.8,18,7,8.118,2.8413,4.204285714
08-01-2019 07:00,174,21,8.4,7,8,57.42,20.097,4.204285714
08-01-2019 08:00,435.3,23,8.4,8,8,143.649,50.27715,4.204285714
08-01-2019 09:00,724.2,25.3,9.7,9,8,238.986,83.6451,4.204285714
08-01-2019 10:00,788.9,27,10.6,10,8,260.337,91.11795,4.204285714
08-01-2019 11:00,863.2,28.1,12.1,11,8,284.856,99.6996,4.204285714
08-01-2019 12:00,880.6,28.6,14.9,12,8,290.598,101.7093,4.204285714
08-01-2019 13:00,888.1,28.4,16.5,13,8,293.073,102.57555,4.204285714
08-01-2019 14:00,861.1,28,16.5,14,8,284.163,99.45705,4.204285714
08-01-2019 15:00,803.3,27.4,16,15,8,265.089,92.78115,4.204285714
08-01-2019 16:00,691.1,26.4,14.8,16,8,228.063,79.82205,4.204285714
08-01-2019 17:00,472.8,24.9,13.2,17,8,156.024,54.6084,4.204285714
08-01-2019 18:00,36.4,23.5,11.8,18,8,12.012,4.2042,4.204285714
09-01-2019 07:00,101.8,19.1,6.3,7,9,33.594,11.7579,4.204285714
09-01-2019 08:00,248.8,20.9,5,8,9,82.104,28.7364,4.204285714
09-01-2019 09:00,455.3,23.5,2.9,9,9,150.249,52.58715,4.204285714
09-01-2019 10:00,741.6,25.8,5.7,10,9,244.728,85.6548,4.204285714
